"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 20-Feb-2025","1W AGO 
 14-Feb-2025","1M AGO 
 22-Jan-2025","1Y AGO 
 22-Feb-2024","52W H 
","52W L 
","365 D % CHNG 
 22-Feb-2024","30 D % CHNG 
 22-Jan-2025"
"NIFTY HEALTHCARE INDEX","13,117.40","-1.93","13,392.40","13,425.60","13,072.10","-","13,375.50","13,375.50","13,494.05","13,992.20","12,159.00","15,108.80","7,249.70","7.88","-6.25"
"NIFTY CONSUMER DURABLES","35,489.90","-0.41","35,618.20","35,943.40","35,406.15","-","35,635.95","35,635.95","35,796.20","38,037.70","32,080.40","44,426.55","21,967.45","10.63","-6.70"
"NIFTY OIL & GAS","10,074.20","-1.05","10,158.85","10,235.80","10,034.55","-","10,181.40","10,181.40","9,921.10","10,472.55","11,756.30","13,607.20","6,645.90","-14.31","-3.80"
"NIFTY MIDSMALL HEALTHCARE","38,119.50","-1.59","38,742.65","38,844.75","37,914.80","-","38,735.45","38,735.45","38,617.55","40,773.75","-","45,285.50","20,019.15","-","-6.51"
"NIFTY FINANCIAL SERVICES EX-BANK","25,244.10","-0.46","25,310.40","25,553.55","25,090.55","-","25,359.85","25,359.85","24,766.10","24,642.20","22,656.38","28,262.35","21,702.40","11.42","2.44"
"NIFTY MIDSMALL FINANCIAL SERVICES","14,623.10","-1.02","14,768.40","14,934.35","14,570.70","-","14,773.15","14,773.15","14,340.15","15,130.55","13,499.64","16,743.90","12,407.95","8.32","-3.35"
"NIFTY MIDSMALL IT & TELECOM","9,473.40","-2.21","9,674.20","9,707.80","9,438.15","-","9,687.35","9,687.35","9,529.85","10,696.05","10,413.06","11,723.20","8,812.70","-9.02","-11.43"
"NIFTY DIVIDEND OPPORTUNITIES 50","5,819.35","-0.51","5,839.30","5,869.40","5,799.15","-","5,849.00","5,849.00","5,785.80","6,092.10","5,829.00","7,012.65","5,490.10","-0.17","-4.48"
"NIFTY GROWTH SECTORS 15","11,103.35","-1.01","11,206.25","11,216.10","11,071.65","-","11,216.35","11,216.35","11,378.75","11,755.55","11,178.60","13,065.05","10,168.35","-0.67","-5.55"
"NIFTY100 QUALITY 30","5,220.75","-0.59","5,247.30","5,250.85","5,201.50","-","5,251.90","5,251.90","5,274.65","5,461.15","5,144.45","-","-","1.48","-4.40"
"NIFTY50 VALUE 20","12,595.65","-0.65","12,643.00","12,671.65","12,557.70","-","12,677.75","12,677.75","12,689.35","13,115.25","12,405.95","14,731.65","11,543.45","1.53","-3.96"
"NIFTY50 TR 2X LEVERAGE","17,405.90","-1.04","17,500.10","17,597.25","17,291.40","-","17,588.95","17,588.95","17,669.40","17,915.15","17,548.40","45,285.50","1,742.35","-0.81","-2.84"
"NIFTY50 PR 2X LEVERAGE","11,867.45","-1.04","11,931.70","11,997.90","11,789.40","-","11,992.25","11,992.25","12,047.15","12,249.60","12,264.10","45,285.50","1,742.35","-3.23","-3.12"
"NIFTY50 TR 1X INVERSE","182.75","0.52","182.25","183.35","181.75","-","181.80","181.80","181.35","179.95","181.35","45,285.50","156.10","0.77","1.56"
"NIFTY50 PR 1X INVERSE","221.15","0.52","220.55","221.85","219.95","-","220.00","220.00","219.40","217.45","216.70","45,285.50","188.15","2.05","1.70"
"NIFTY50 DIVIDEND POINTS","287.91","-","-","-","-","-","287.91","287.91","287.91","254.57","220.31","-","-","30.68","13.10"
"NIFTY ALPHA 50","45,485.95","-0.73","45,723.30","46,504.30","45,337.45","-","45,819.40","45,819.40","44,477.20","49,422.75","46,959.75","-","-","-3.14","-7.97"
"NIFTY50 EQUAL WEIGHT","28,574.30","-0.53","28,681.60","28,771.85","28,454.65","-","28,727.45","28,727.45","28,630.80","28,909.10","28,107.95","-","-","1.66","-1.16"
"NIFTY100 EQUAL WEIGHT","29,276.55","-0.69","29,440.75","29,590.30","29,167.40","-","29,479.50","29,479.50","29,119.55","30,056.35","28,951.95","-","-","1.12","-2.59"
"NIFTY100 LOW VOLATILITY 30","18,602.45","-0.47","18,678.45","18,700.25","18,530.65","-","18,691.00","18,691.00","18,827.55","19,052.40","18,102.60","-","-","2.76","-2.36"
"NIFTY200 QUALITY 30","19,137.75","-0.72","19,263.35","19,299.00","19,059.05","-","19,277.25","19,277.25","19,204.40","20,177.90","18,881.70","-","-","1.36","-5.15"
"NIFTY ALPHA LOW-VOLATILITY 30","24,758.65","-1.18","25,027.05","25,066.80","24,683.90","-","25,055.45","25,055.45","25,121.80","26,029.50","25,786.45","-","-","-3.99","-4.88"
"NIFTY200 MOMENTUM 30","28,216.40","-1.67","28,656.95","28,795.00","28,134.00","-","28,695.35","28,695.35","28,202.55","29,919.40","30,328.65","-","-","-6.96","-5.69"
"NIFTY MIDCAP150 QUALITY 50","21,533.80","-1.02","21,745.25","21,896.10","21,433.00","-","21,756.70","21,756.70","21,212.20","23,151.90","20,907.85","-","-","2.99","-6.99"
"NIFTY200 ALPHA 30","21,912.20","-1.47","22,198.50","22,393.35","21,842.95","-","22,238.80","22,238.80","21,706.35","23,379.65","23,244.40","-","-","-5.73","-6.28"
"NIFTY MIDCAP150 MOMENTUM 50","53,919.65","-1.43","54,617.50","55,110.35","53,700.35","-","54,703.70","54,703.70","53,149.60","58,027.20","53,269.10","-","-","1.22","-7.08"
"NIFTY500 MOMENTUM 50","47,480.20","-1.68","48,172.25","48,534.25","47,274.80","-","48,290.05","48,290.05","46,953.10","50,721.40","-","-","-","-","-6.39"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","43,445.95","-1.37","43,990.90","44,398.15","43,278.40","-","44,049.90","44,049.90","42,651.50","47,401.55","44,062.78","-","-","-1.40","-8.34"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","41,334.35","-0.60","41,523.10","42,145.35","41,133.60","-","41,582.00","41,582.00","40,444.70","44,607.50","44,891.89","-","-","-7.92","-7.34"
"NIFTY TOP 10 EQUAL WEIGHT","9,001.60","-0.31","9,009.55","9,032.55","8,970.25","-","9,029.45","9,029.45","9,059.60","9,137.70","-","-","-","-","-1.49"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","20,558.70","-0.94","20,749.05","20,780.45","20,478.05","-","20,753.85","20,753.85","20,800.75","21,759.00","20,761.67","-","-","-0.98","-5.52"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","18,877.05","-0.62","18,986.90","19,002.65","18,804.75","-","18,995.70","18,995.70","18,965.15","19,746.05","18,585.47","-","-","1.57","-4.40"
"NIFTY HIGH BETA 50","3,170.35","-0.88","3,191.45","3,231.75","3,160.65","-","3,198.50","3,198.50","3,124.95","3,364.55","3,727.07","-","-","-14.94","-5.77"
"NIFTY LOW VOLATILITY 50","22,995.15","-0.75","23,151.10","23,180.80","22,901.10","-","23,168.90","23,168.90","23,239.70","23,491.05","22,045.30","-","-","4.31","-2.11"
"NIFTY QUALITY LOW-VOLATILITY 30","16,076.40","-0.61","16,174.75","16,191.00","16,007.50","-","16,175.30","16,175.30","16,278.10","16,725.25","16,252.92","-","-","-1.09","-3.88"
"NIFTY SMALLCAP250 QUALITY 50","24,014.95","-0.83","24,202.20","24,534.30","23,946.30","-","24,216.15","24,216.15","23,676.40","26,038.25","24,267.46","-","-","-1.04","-7.77"
"NIFTY TOP 15 EQUAL WEIGHT","9,462.35","-0.74","9,507.55","9,524.50","9,434.55","-","9,533.30","9,533.30","9,594.80","9,525.65","8,917.91","-","-","6.11","-0.66"
"NIFTY100 ALPHA 30","16,085.80","-1.41","16,287.25","16,380.80","16,031.30","-","16,316.65","16,316.65","16,034.55","16,839.80","16,822.57","-","-","-4.38","-4.48"
"NIFTY200 VALUE 30","11,597.50","-0.53","11,632.95","11,739.20","11,537.00","-","11,659.25","11,659.25","11,260.50","11,848.85","11,704.50","-","-","-0.91","-2.12"
"NIFTY500 EQUAL WEIGHT","12,369.50","-0.66","12,438.00","12,588.15","12,320.15","-","12,451.65","12,451.65","12,202.35","13,191.25","12,563.58","-","-","-1.54","-6.23"
"NIFTY500 MULTICAP MOMENTUM QUALITY 50","37,247.15","-1.07","37,587.05","37,850.35","37,067.90","-","37,649.15","37,649.15","37,086.20","40,923.20","40,518.05","-","-","-8.07","-8.98"
"NIFTY500 VALUE 50","12,702.75","-0.48","12,734.20","12,851.95","12,637.20","-","12,763.40","12,763.40","12,397.30","13,020.30","12,926.92","-","-","-1.73","-2.44"
"NIFTY TOP 20 EQUAL WEIGHT","8,520.85","-0.71","8,564.95","8,577.00","8,494.05","-","8,582.15","8,582.15","8,644.15","8,694.55","8,116.62","-","-","4.98","-2.00"
"NIFTY COMMODITIES","7,954.00","-0.03","7,946.40","8,014.40","7,902.50","-","7,956.30","7,956.30","7,759.30","8,027.00","8,293.65","9,896.35","7,566.60","-4.10","-0.91"
"NIFTY INDIA CONSUMPTION","10,542.05","-1.09","10,644.40","10,675.50","10,515.00","-","10,657.95","10,657.95","10,635.00","10,875.95","9,951.90","13,057.60","9,690.80","5.93","-3.07"
"NIFTY CPSE","5,649.50","-0.66","5,673.35","5,725.80","5,625.40","-","5,686.85","5,686.85","5,462.40","5,945.85","5,861.55","7,661.90","5,284.25","-3.62","-4.98"
"NIFTY ENERGY","31,592.00","-0.56","31,721.65","32,022.70","31,441.50","-","31,769.65","31,769.65","30,737.55","33,263.55","39,561.45","45,022.15","29,892.35","-20.14","-5.03"
"NIFTY INFRASTRUCTURE","8,008.45","-0.52","8,034.35","8,087.75","7,983.05","-","8,050.30","8,050.30","7,937.40","8,243.65","8,170.70","9,704.20","7,806.85","-1.99","-2.85"
"NIFTY100 LIQUID 15","6,224.55","-0.62","6,250.50","6,276.95","6,204.30","-","6,263.35","6,263.35","6,245.55","6,204.10","6,316.50","7,205.25","6,011.05","-1.46","0.33"
"NIFTY MIDCAP LIQUID 15","12,739.40","-1.65","12,945.05","13,035.00","12,697.15","-","12,952.70","12,952.70","12,677.90","13,373.05","11,430.75","14,941.65","10,349.60","11.45","-4.74"
"NIFTY MNC","25,873.05","-0.46","26,001.20","26,047.80","25,735.95","-","25,992.70","25,992.70","25,955.85","27,136.30","25,206.10","32,841.15","24,338.95","2.65","-4.66"
"NIFTY PSE","8,569.35","-0.85","8,623.50","8,703.40","8,535.60","-","8,643.20","8,643.20","8,341.70","9,068.95","9,318.60","11,814.60","8,083.80","-8.04","-5.51"
"NIFTY SERVICES SECTOR","30,283.45","-0.49","30,342.05","30,451.95","30,188.20","-","30,431.60","30,431.60","30,435.35","30,220.95","27,961.05","33,791.15","26,535.15","8.31","0.21"
"NIFTY100 ESG SECTOR LEADERS","3,773.30","-0.55","3,784.95","3,800.60","3,761.55","-","3,794.30","3,794.30","3,784.40","3,804.25","3,666.95","-","-","2.90","-0.81"
"NIFTY INDIA DIGITAL","8,675.65","-0.73","8,727.50","8,804.95","8,640.90","-","8,739.40","8,739.40","8,690.60","9,173.95","7,805.30","10,152.15","4,924.40","11.15","-5.43"
"NIFTY100 ESG","4,484.25","-0.61","4,502.95","4,522.95","4,469.15","-","4,511.90","4,511.90","4,485.70","4,534.00","4,365.25","-","-","2.73","-1.10"
"NIFTY INDIA MANUFACTURING","12,695.20","-1.10","12,815.30","12,883.20","12,644.45","-","12,835.85","12,835.85","12,660.75","13,138.35","11,845.80","-","-","7.17","-3.37"
